"{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
-51,1,0
-51,1,-0.052
-51,1,-0.103948
-50.9974,1,-0.155844
-50.9922,1,-0.207685
-50.9844,1,-0.25947
-50.974,1,-0.311194
-50.9611,1,-0.362856
-50.9456,1,-0.414453
-50.9275,1,-0.465983
-50.9068,1,-0.517443
-50.8836,1,-0.56883
-50.8578,1,-0.620141
-50.8295,1,-0.671376
-50.7987,1,-0.72253
-50.7653,1,-0.773601
-50.7294,1,-0.824588
-50.691,1,-0.875486
-50.6501,1,-0.926295
-50.6067,1,-0.977011
-50.5607,1,-1.02763
-50.5123,1,-1.07815
-50.4614,1,-1.12858
-50.4081,1,-1.1789
-50.3522,1,-1.22912
-50.294,1,-1.27922
-50.2332,1,-1.32922
-50.17,1,-1.37911
-50.1044,1,-1.42888
-50.0364,1,-1.47854
-49.9659,1,-1.52808
-49.893,1,-1.57749
-49.8178,1,-1.62678
-49.7401,1,-1.67595
-49.66,1,-1.72499
-49.5776,1,-1.77389
-49.4928,1,-1.82267
-49.4057,1,-1.8713
-49.3162,1,-1.9198
-49.2243,1,-1.96816
-49.1302,1,-2.01638
-49.0337,1,-2.06446
-48.9349,1,-2.11238
-48.8338,1,-2.16016
-48.7304,1,-2.20779
-48.6247,1,-2.25526
-48.5167,1,-2.30258
-48.4065,1,-2.34975
-48.2941,1,-2.39675
-48.1794,1,-2.44359
-48.0625,1,-2.49026
-47.9433,1,-2.53677
-47.8219,1,-2.58311
-47.6984,1,-2.62929
-47.5726,1,-2.67529
-47.4447,1,-2.72111
-47.3146,1,-2.76676
-47.1824,1,-2.81223
-47.048,1,-2.85752
-46.9114,1,-2.90263
-46.7728,1,-2.94755
-46.632,1,-2.99228
-46.4892,1,-3.03683
-46.3442,1,-3.08119
-46.1972,1,-3.12535
-46.0481,1,-3.16933
-45.897,1,-3.2131
-45.7438,1,-3.25668
-45.5886,1,-3.30005
-45.4313,1,-3.34323
-45.2721,1,-3.3862
-45.1109,1,-3.42896
-44.9476,1,-3.47152
-44.7825,1,-3.51387
-44.6153,1,-3.55601
-44.4462,1,-3.59793
-44.2752,1,-3.63964
-44.1023,1,-3.68114
-43.9275,1,-3.72241
-43.7508,1,-3.76347
-43.5721,1,-3.8043
-43.3917,1,-3.84492
-43.2093,1,-3.8853
-43.0252,1,-3.92546
-42.8392,1,-3.96539
-42.6514,1,-4.0051
-42.4618,1,-4.04457
-42.2704,1,-4.0838
-42.0772,1,-4.12281
-41.8823,1,-4.16157
-41.6856,1,-4.2001
-41.4872,1,-4.23839
-41.287,1,-4.27644
-41.0852,1,-4.31425
-40.8817,1,-4.35181
-40.6765,1,-4.38912
-40.4696,1,-4.42619
-40.2611,1,-4.46302
-40.0509,1,-4.49959
-39.8391,1,-4.53591
-39.6257,1,-4.57198
-39.4107,1,-4.60779
-39.1942,1,-4.64335
-38.9761,1,-4.67865
-38.7564,1,-4.71369
-38.5352,1,-4.74848
-38.3124,1,-4.783
-38.0882,1,-4.81726
-37.8624,1,-4.85126
-37.6352,1,-4.88499
-37.4065,1,-4.91846
-37.1764,1,-4.95166
-36.9448,1,-4.9846
-36.7119,1,-5.01726
-36.4775,1,-5.04965
-36.2417,1,-5.08177
-36.0046,1,-5.11362
-35.766,1,-5.14519
-35.5262,1,-5.17649
-35.285,1,-5.20751
-35.0425,1,-5.23826
-34.7987,1,-5.26873
-34.5536,1,-5.29891
-34.3073,1,-5.32882
-34.0597,1,-5.35844
-33.8109,1,-5.38779
-33.5608,1,-5.41685
-33.3095,1,-5.44562
-33.0571,1,-5.47411
-32.8034,1,-5.50231
-32.5486,1,-5.53023
-32.2927,1,-5.55785
-32.0356,1,-5.58519
-31.7774,1,-5.61224
-31.5182,1,-5.639
-31.2578,1,-5.66546
-30.9964,1,-5.69163
-30.7339,1,-5.71751
-30.4703,1,-5.7431
-30.2058,1,-5.76839
-29.9403,1,-5.79338
-29.6737,1,-5.81808
-29.4062,1,-5.84248
-29.1378,1,-5.86659
-28.8684,1,-5.89039
-28.598,1,-5.9139
-28.3268,1,-5.93711
-28.0547,1,-5.96001
-27.7816,1,-5.98262
-27.5078,1,-6.00492
-27.233,1,-6.02693
-26.9575,1,-6.04862
-26.6811,1,-6.07002
-26.404,1,-6.09111
-26.126,1,-6.1119
-25.8473,1,-6.13238
-25.5679,1,-6.15256
-25.2877,1,-6.17243
-25.0068,1,-6.192
-24.7251,1,-6.21126
-24.4428,1,-6.23021
-24.1599,1,-6.24885
-23.8763,1,-6.26719
-23.592,1,-6.28522
-23.3071,1,-6.30294
-23.0216,1,-6.32035
-22.7355,1,-6.33745
-22.4489,1,-6.35424
-22.1617,1,-6.37072
-21.8739,1,-6.3869
-21.5856,1,-6.40276
-21.2968,1,-6.41831
-21.0076,1,-6.43355
-20.7178,1,-6.44848
-20.4276,1,-6.4631
-20.1369,1,-6.47741
-19.8458,1,-6.4914
-19.5543,1,-6.50509
-19.2624,1,-6.51846
-18.9701,1,-6.53152
-18.6774,1,-6.54427
-18.3844,1,-6.55671
-18.0911,1,-6.56883
-17.7974,1,-6.58065
-17.5035,1,-6.59215
-17.2092,1,-6.60334
-16.9147,1,-6.61421
-16.6199,1,-6.62478
-16.3249,1,-6.63503
-16.0297,1,-6.64497
-15.7342,1,-6.6546
-15.4386,1,-6.66392
-15.1428,1,-6.67292
-14.8468,1,-6.68162
-14.5507,1,-6.69
-14.2544,1,-6.69807
-13.9581,1,-6.70583
-13.6616,1,-6.71328
-13.3651,1,-6.72042
-13.0685,1,-6.72725
-12.7718,1,-6.73377
-12.4751,1,-6.73998
-12.1784,1,-6.74588
-11.8817,1,-6.75147
-11.585,1,-6.75675
-11.2883,1,-6.76172
-10.9917,1,-6.76639
-10.6951,1,-6.77074
-10.3986,1,-6.77479
-10.1022,1,-6.77853
-9.80585,1,-6.78197
-9.50965,1,-6.78509
-9.21359,1,-6.78792
-8.91767,1,-6.79043
-8.62192,1,-6.79264
-8.32635,1,-6.79455
-8.03097,1,-6.79615
-7.7358,1,-6.79745
-7.44086,1,-6.79844
-7.14615,1,-6.79913
-6.85169,1,-6.79952
-6.55751,1,-6.79961
-6.26361,1,-6.79939
-5.97,1,-6.79888
-5.67671,1,-6.79807
-5.38374,1,-6.79695
-5.09112,1,-6.79554
-4.79885,1,-6.79383
-4.50696,1,-6.79183
-4.21545,1,-6.78952
-3.92434,1,-6.78692
-3.63364,1,-6.78403
-3.34337,1,-6.78084
-3.05354,1,-6.77735
-2.76417,1,-6.77358
-2.47528,1,-6.76951
-2.18686,1,-6.76515
-1.89895,1,-6.7605
-1.61155,1,-6.75556
-1.32467,1,-6.75032
-1.03834,1,-6.74481
-0.752561,1,-6.739
-0.467351,1,-6.73291
-0.182724,1,-6.72653
0.101308,1,-6.71986
0.38473,1,-6.71291
0.667529,1,-6.70568
0.949691,1,-6.69817
1.2312,1,-6.69037
1.51205,1,-6.6823
1.79222,1,-6.67394
2.07171,1,-6.66531
2.35049,1,-6.6564
2.62855,1,-6.64721
2.90588,1,-6.63775
3.18247,1,-6.62801
3.45831,1,-6.618
3.73338,1,-6.60772
4.00766,1,-6.59716
4.28116,1,-6.58634
4.55384,1,-6.57524
4.82571,1,-6.56388
5.09675,1,-6.55225
5.36694,1,-6.54035
5.63627,1,-6.52819
5.90474,1,-6.51577
6.17233,1,-6.50308
6.43902,1,-6.49013
6.70481,1,-6.47692
6.96968,1,-6.46346
7.23362,1,-6.44973
7.49662,1,-6.43575
7.75866,1,-6.42151
8.01974,1,-6.40702
8.27985,1,-6.39228
8.53896,1,-6.37728
8.79708,1,-6.36203
9.05419,1,-6.34653
9.31027,1,-6.33079
9.56532,1,-6.3148
9.81932,1,-6.29856
10.0723,1,-6.28208
10.3241,1,-6.26536
10.5749,1,-6.24839
10.8247,1,-6.23119
11.0733,1,-6.21375
11.3208,1,-6.19606
11.5671,1,-6.17815
11.8124,1,-6.16
12.0565,1,-6.14161
12.2994,1,-6.12299
12.5412,1,-6.10415
12.7818,1,-6.08507
13.0213,1,-6.06577
13.2595,1,-6.04624
13.4965,1,-6.02648
13.7323,1,-6.0065
13.9669,1,-5.9863
14.2003,1,-5.96588
14.4324,1,-5.94524
14.6633,1,-5.92439
14.8928,1,-5.90331
15.1212,1,-5.88203
15.3482,1,-5.86053
15.574,1,-5.83881
15.7984,1,-5.81689
16.0215,1,-5.79476
16.2434,1,-5.77243
16.4639,1,-5.74988
16.683,1,-5.72714
16.9008,1,-5.70419
17.1173,1,-5.68104
17.3324,1,-5.65769
17.5461,1,-5.63415
17.7584,1,-5.61041
17.9694,1,-5.58647
18.1789,1,-5.56235
18.3871,1,-5.53803
18.5938,1,-5.51352
18.7991,1,-5.48882
19.003,1,-5.46394
19.2055,1,-5.43887
19.4065,1,-5.41363
19.6061,1,-5.38819
19.8042,1,-5.36258
20.0008,1,-5.3368
20.1959,1,-5.31083
20.3896,1,-5.28469
20.5818,1,-5.25838
20.7725,1,-5.2319
20.9617,1,-5.20525
21.1494,1,-5.17843
21.3355,1,-5.15144
21.5202,1,-5.12429
21.7033,1,-5.09698
21.8849,1,-5.0695
22.0649,1,-5.04187
22.2434,1,-5.01408
22.4203,1,-4.98613
22.5957,1,-4.95803
22.7695,1,-4.92978
22.9417,1,-4.90138
23.1123,1,-4.87283
23.2814,1,-4.84413
23.4489,1,-4.81528
23.6147,1,-4.7863
23.779,1,-4.75717
23.9417,1,-4.7279
24.1027,1,-4.69849
24.2622,1,-4.66895
24.42,1,-4.63927
24.5761,1,-4.60946
24.7307,1,-4.57952
24.8836,1,-4.54945
25.0349,1,-4.51925
25.1845,1,-4.48892
25.3325,1,-4.45847
25.4788,1,-4.4279
25.6234,1,-4.39721
25.7664,1,-4.36641
25.9077,1,-4.33548
26.0474,1,-4.30444
26.1853,1,-4.27329
26.3216,1,-4.24202
26.4562,1,-4.21065
26.5891,1,-4.17917
26.7203,1,-4.14758
26.8499,1,-4.11589
26.9777,1,-4.0841
27.1038,1,-4.05221
27.2282,1,-4.02022
