"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0,-6e+006,1,0
0.001,-6e+006,1,-6000
0.002,-6e+006,1,-11994
0.003,3e+007,1,-17982
0.004,1.01928e+008,1,12036
0.005,-6.28793e+006,1,113952
0.006,-7.25856e+008,1,107550
0.007,-1.40626e+009,1,-618413
0.008,2.26984e+009,1,-2.02405e+006
0.009,1.43761e+010,1,247811
0.01,1.28392e+010,1,1.46237e+007
0.011,-7.49515e+010,1,2.74482e+007
0.012,-2.39602e+011,1,-4.75307e+007
0.013,4.57868e+010,1,-2.87085e+008
0.014,1.76821e+012,1,-2.41011e+008
0.015,3.21248e+012,1,1.52745e+009
0.016,-5.95544e+012,1,4.7384e+009
0.017,-3.43799e+013,1,-1.22179e+009
0.018,-2.70148e+013,1,-3.56005e+010
0.019,1.86615e+014,1,-6.25797e+010
0.02,5.61907e+014,1,1.24098e+011
0.021,-1.83242e+014,1,6.8588e+011
0.022,-4.29834e+015,1,5.01952e+011
0.023,-7.30575e+015,1,-3.79689e+012
0.024,1.54829e+016,1,-1.10989e+013
0.025,8.20605e+016,1,4.39515e+012
0.026,5.56075e+016,1,8.64513e+013
0.027,-4.63156e+017,1,1.41972e+014
0.028,-1.31453e+018,1,-3.21326e+014
0.029,6.1474e+017,1,-1.63553e+015
0.03,1.04273e+019,1,-1.01916e+015
0.031,1.65318e+019,1,9.40918e+015
0.032,-3.99398e+019,1,2.59316e+016
0.033,-1.95489e+020,1,-1.40341e+016
0.034,-1.11089e+020,1,-2.0951e+017
0.035,1.14608e+021,1,-3.20389e+017
0.036,3.06727e+021,1,8.26011e+017
0.037,-1.89186e+021,1,3.89245e+018
0.038,-2.52447e+022,1,1.9967e+018
0.039,-3.71996e+022,1,-2.325e+019
0.04,1.02338e+023,1,-6.04264e+019
0.041,4.64794e+023,1,4.19716e+019
0.042,2.12499e+023,1,5.06723e+020
0.043,-2.82805e+024,1,7.18716e+020
0.044,-7.13752e+024,1,-2.11006e+021
0.045,5.52996e+024,1,-9.24547e+021
0.046,6.09972e+025,1,-3.70626e+021
0.047,8.31738e+025,1,5.72947e+022
0.048,-2.60677e+026,1,1.40411e+023
0.049,-1.10288e+027,1,-1.20407e+023
0.05,-3.79341e+026,1,-1.22317e+024
0.051,6.96006e+027,1,-1.60129e+024
